DRA 150     ,Intro to Technical Theatre  ,FA  ,2012
DRA 150L    ,DRA 150 Lab  ,FA  ,2012
DRA 318     ,Directing  ,FA  ,2012
DRA 331     ,Shakespeare-I  ,FA  ,2012
ECO 110     ,Intro to Economics  ,FA  ,2012
ECO 210     ,Macroeconomic Analysis  ,FA  ,2012
ECO 220     ,Microeconomic Analysis  ,FA  ,2012
ECO 260     ,Financial Accounting  ,FA  ,2012
ECO 340     ,Managerial Finance  ,FA  ,2012
ECO 390     ,Econometrics  ,FA  ,2012
ECO 395     ,Empirical Analysis Econ/Finance  ,FA  ,2012
ECO 420     ,International Trade  ,FA  ,2012
ECO 430     ,Money and Banking  ,FA  ,2012
ECO 435     ,Theory of Investments  ,FA  ,2012
ECO 500     ,Senior Seminar  ,FA  ,2012
EDU 226     ,Technology and Education  ,FA  ,2012
EDU 333     ,Instructional Design: Literacy & Learning ,FA  ,2012
EDU 335     ,"Sec Edu Planning, Evaluation, & Classroom Management ",FA  ,2012
EDU 342     ,Language Arts Methods  ,FA  ,2012
EDU 343     ,Science Methods  ,FA  ,2012
ENG 210     ,British Literature-I  ,FA  ,2012
ENG 230     ,American Literature  ,FA  ,2012
ENG 301     ,Shakespeare-I  ,FA  ,2012
ENG 315     ,The Romance of Arthur  ,FA  ,2012
ENG 353     ,Charles Dickens  ,FA  ,2012
ENG 363     ,Cross Atlantic Currents  ,FA  ,2012
ENG 380     ,African American Literature  ,FA  ,2012
ENG 395     ,World Poetry  ,FA  ,2012
ENG 500     ,Senior Seminar  ,FA  ,2012
ENS 200     ,Directed Study  ,FA  ,2012
ENS 251     ,Human Ecology in the Yucatan  ,FA  ,2012
ENS 270     ,Ecology for the Non-Scientist  ,FA  ,2012
ENS 310     ,Environmental Risks & Inequality in America ,FA  ,2012
ENS 401     ,Independent Study  ,FA  ,2012
EUR 300     ,Intro to European Studies  ,FA  ,2012
EXO 001     ,Extended Orientation  ,FA  ,2012
FRE 110     ,Intro French Lang. & Culture-I  ,FA  ,2012
FRE 210     ,Intermediate Workshop  ,FA  ,2012
FRE 220     ,Intermediate Workshop  ,FA  ,2012
FRE 251     ,Contemporary French Culture  ,FA  ,2012
FRE 261     ,Francophone World  ,FA  ,2012
FRE 310     ,Adv French Grammar & Stylistics  ,FA  ,2012
FRE 350     ,Contemporary French Culture  ,FA  ,2012
FRE 440     ,Paris in French Literature  ,FA  ,2012
GER 110     ,German Culture and Language-I  ,FA  ,2012
GER 210     ,Images of Daily Life & Geography  ,FA  ,2012
GER 320     ,"Nature, Volk and Lore  ",FA  ,2012
GER 401     ,Independent Study  ,FA  ,2012
GNS 210     ,Intro to Gender Studies  ,FA  ,2012
GOV 110     ,Intro to Politics  ,FA  ,2012
GOV 210     ,American Politics & Institutions  ,FA  ,2012
GOV 225     ,US Foreign Policy/Intnl Affairs  ,FA  ,2012
GOV 260     ,Intro to International Relations  ,FA  ,2012
GOV 300     ,Western Political Theory-I  ,FA  ,2012
GOV 320     ,American Constitutional Interpre  ,FA  ,2012
GOV 330     ,"Parties, Campaigns, & Elections  ",FA  ,2012
GOV 333     ,American Presidency  ,FA  ,2012
GOV 341     ,Latin American Politics  ,FA  ,2012
GOV 346     ,East Asian Politics  ,FA  ,2012
GOV 361     ,International Law  ,FA  ,2012
GOV 363     ,American Foreign Policy  ,FA  ,2012
GOV 400     ,Directed Study  ,FA  ,2012
GOV 454     ,Environmental Governance &Policy  ,FA  ,2012
GOV 461     ,The Construction of Europe  ,FA  ,2012
HIS 110     ,Development of Modern World-I  ,FA  ,2012
HIS 120     ,Development of Modern World-II  ,FA  ,2012
HIS 240     ,Development of United States-II  ,FA  ,2012
HIS 314     ,Ancient Greek Society & Culture  ,FA  ,2012
HIS 322     ,The Holocaust  ,FA  ,2012
HIS 332     ,Modern China  ,FA  ,2012
HIS 335     ,Middle Eastern Civilization  ,FA  ,2012
HIS 337     ,Modern Japan and China  ,FA  ,2012
HIS 353     ,African Lives  ,FA  ,2012
HIS 361     ,American Environmental History  ,FA  ,2012
HIS 375     ,History of Gender in the U.S.  ,FA  ,2012
HIS 388     ,"Lawyers, Guns and Money  ",FA  ,2012
HIS 401     ,Independent Study  ,FA  ,2012
HIS 500     ,Junior Seminar  ,FA  ,2012
HUM 110     ,Intro to Humanities-I  ,FA  ,2012
HUM 111     ,Expository Writing/Humanities-I  ,FA  ,2012
HUM 200     ,Special Topics Abroad  ,FA  ,2012
HUM 290     ,Questions of Travel  ,FA  ,2012
HUM 300     ,Group Registration  ,FA  ,2012
INT 400     ,Internship  ,FA  ,2012
IST 500     ,Senior Seminar  ,FA  ,2012
JPN 110     ,Fundamentals of Japanese-I  ,FA  ,2012
JPN 210     ,Intermediate Japanese-I  ,FA  ,2012
JPN 401     ,Independent Study  ,FA  ,2012
LIN 210     ,Introduction to Linguistics  ,FA  ,2012
MAT 110     ,Mathematics in Our Society  ,FA  ,2012
MAT 130     ,Introduction to Statistics  ,FA  ,2012
